,Round
13428,6
9480,0
12475,0
14809,0
7670,0
13106,0
8182,0
3345,0
8256,0
14208,0
13565,0
7344,0
12455,0
12109,0
8634,0
6954,1
14075,0
7538,0
7772,4
13333,0
2023,0
2937,0
13454,0
14913,0
13126,0
6682,0
7265,1
2592,4
9128,1
14140,0
7183,0
13249,4
7532,7
2791,0
7467,0
6581,0
11517,0
2981,7
9428,0
6261,0
3193,0
12108,0
7133,3
12930,2
2431,0
6716,0
2169,0
11622,0
33,4
7735,0
7979,4
2833,0
14257,0
12083,0
12794,7
8195,6
12624,0
14255,0
3325,0
13302,0
2933,0
13389,0
2156,0
14766,0
2572,0
11956,0
12204,0
1958,0
1963,1
9370,3
1733,0
9237,1
12134,4
12122,0
7339,4
1949,1
2100,0
12333,0
12271,0
7461,0
14441,0
12346,0
12813,0
11960,6
12718,1
3343,0
12890,0
14792,6
1919,0
14085,0
2929,0
12027,1
12457,0
6363,0
14974,0
8145,0
6935,0
3000,0
12598,0
13688,0
11812,2
8187,0
1618,0
8007,0
1865,0
7074,0
12101,5
14468,0
7613,4
12899,0
6717,0
2457,2
3202,0
13758,0
58,0
13125,0
12671,0
12074,0
13866,7
8093,0
11709,0
1954,6
9094,7
7825,7
15184,0
13914,0
2336,0
13168,0
13391,0
13529,7
13276,0
12323,0
11607,0
13127,0
2491,0
6071,2
2663,0
13695,3
14231,0
2346,0
12238,0
14041,5
8520,3
13666,4
13064,0
14088,0
11863,0
2895,0
11778,4
8383,0
46,0
13648,0
13297,1
15178,0
9504,0
3222,0
14759,0
12681,0
12170,3
8591,0
11452,0
9536,2
13514,0
7996,0
8305,0
8232,0
12340,0
11871,0
7770,0
9561,0
13080,0
14483,0
8082,6
11667,0
13294,0
14217,0
12130,0
13246,0
3062,0
11768,0
14501,1
14111,0
96,0
8235,0
1837,2
12806,0
118,7
2963,0
13152,0
13964,7
13899,0
7605,0
11454,0
12263,7
2078,0
12721,0
3051,0
8487,0
13142,1
13852,1
7760,0
14640,0
11651,0
2523,7
7364,0
14420,0
11693,0
7159,0
2295,1
11707,0
9532,1
7383,5
12004,6
13348,0
3063,5
14734,2
6226,0
14227,0
12193,0
15018,0
7472,0
11479,6
2727,0
14180,0
9408,0
7267,0
2907,0
13959,7
6655,0
3156,0
9204,5
3295,0
3175,0
12137,0
7173,0
1874,0
7595,0
9488,3
13659,6
9096,2
2906,0
12683,0
6865,0
13465,0
12776,2
9385,7
2619,5
6534,0
2689,0
2624,0
13448,0
12963,0
2405,0
2373,6
2493,6
12964,2
1855,0
13928,5
13330,0
8565,0
1841,0
6567,2
3041,0
11983,3
14535,0
2903,0
6998,3
6329,2
1866,0
12127,0
6710,0
7977,0
8249,1
1996,0
87,0
6849,1
14316,0
12257,0
14707,0
14228,7
12639,6
13618,0
13408,0
1903,0
8257,0
3255,0
7800,4
13848,0
13550,0
9210,2
1551,0
2630,0
15042,0
12987,0
6770,7
8154,0
9348,3
15014,0
3091,0
15048,0
9581,0
12524,0
7954,0
12891,0
11872,0
2719,0
13030,4
6902,1
13207,0
6500,4
15091,4
11947,0
8083,2
13025,0
14205,0
7964,0
11608,0
6322,0
14341,0
7072,3
9124,5
9423,0
11786,3
2133,0
11483,0
8260,0
14665,0
12882,2
7718,0
2079,0
6565,0
3384,0
2280,0
6487,3
9024,0
12251,0
12417,4
14595,0
12203,0
1710,0
11731,6
7112,0
14093,0
8171,0
11579,0
8161,0
8511,6
9454,0
7043,0
11617,7
7748,0
14886,0
14543,0
14013,5
7899,0
2897,3
2920,0
13104,0
6291,0
14625,0
12121,0
6876,0
13982,0
14256,0
2103,0
8433,0
15235,5
11980,0
3069,0
7312,0
13547,0
2096,0
12301,0
1809,0
9038,0
6309,0
13020,0
8115,0
12198,0
6533,0
3210,0
7044,0
12626,0
2168,4
7122,2
7881,0
8552,0
15066,2
7370,6
12574,0
7902,0
156,0
7972,0
9219,7
12935,7
14126,0
9562,1
6222,0
8084,0
9494,0
12632,0
2567,0
12669,0
3228,0
14313,0
12960,0
2913,0
9342,5
8322,0
6800,0
14187,0
8277,0
6198,0
7562,0
14151,2
6340,0
15004,0
12389,0
8242,6
11647,0
8071,0
1659,0
7352,0
9390,0
2533,0
2802,2
13559,2
8141,3
13808,1
13994,0
12178,0
7249,0
7888,0
14300,0
14326,4
3197,0
9400,0
1526,0
1998,3
14495,0
14569,0
2198,0
2574,2
1698,0
12135,0
14481,0
7354,2
12061,0
1913,0
14249,3
2822,1
3387,0
7623,5
7698,0
15107,0
8017,4
12699,6
7556,5
11974,0
8570,0
9244,4
13192,0
1627,0
12666,0
3182,0
11996,2
2562,0
14710,7
14451,0
2370,0
14733,0
12289,0
8089,0
9251,0
14016,0
12179,0
2742,5
6414,1
8290,0
13401,0
8004,4
1828,0
12216,7
6341,0
7810,0
11564,0
6260,2
14822,6
8281,0
12830,0
3219,0
8513,0
145,4
13990,0
14711,0
14132,0
6816,0
2564,0
11671,0
7794,0
12245,0
8106,0
36,0
8451,0
2413,0
14815,0
8194,6
9136,7
6997,0
12269,0
2389,0
14539,0
13093,0
6246,0
14487,0
2262,0
2402,0
13472,0
7392,0
2211,6
15216,0
3145,0
6987,0
6370,3
6978,0
14744,5
12713,5
9177,0
2232,0
13410,0
12373,0
9359,0
13792,6
12021,0
2201,5
8476,0
9363,1
14024,0
13929,0
6136,0
13572,4
9040,4
14673,5
7900,0
12223,0
14590,0
13220,0
9259,0
7699,0
13864,5
7828,0
12554,0
13057,0
1891,0
7006,4
7620,0
11754,7
7433,6
12614,7
8123,0
7487,1
13948,6
11758,0
2054,0
8453,0
14253,6
13985,0
2893,0
14783,0
14273,0
6220,0
12829,0
12583,6
1772,0
6922,0
3105,0
7516,0
2436,0
2882,0
14677,0
8311,0
7089,0
1775,0
13311,0
7604,0
8230,2
15180,0
12000,7
9393,0
14904,0
7830,5
7459,0
13278,0
14424,0
6812,2
12952,0
7368,0
8001,0
14196,0
11928,0
14554,0
2127,0
13862,0
8436,0
14356,0
13420,0
15052,0
2595,3
11694,0
14688,0
13494,0
2263,0
2102,0
68,0
1974,0
2095,0
13069,0
13741,2
11649,0
8560,5
13867,4
12608,2
12458,0
14749,0
12546,0
8403,5
12819,0
6758,0
13226,0
6664,0
7290,2
