,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
3936,Anthony Jones,906,1989,1992,44,80,906,11.3,6,20.6,WR,Oregon
3937,Bobby Allen,906,1958,1960,30,52,906,17.4,9,30.2,WR,Wake Forest
3938,Dean Patterson,906,2021,2024,31,64,906,14.2,3,29.2,WR,Florida International
3939,Dick Corrada,906,1968,1970,30,79,906,11.5,3,30.2,RB,East Carolina
3940,John Baker,906,1987,1989,33,78,906,11.6,3,27.5,TE,Kansas
3941,Kenny Stafford,906,2008,2011,47,59,906,15.4,8,19.3,WR,Toledo
3942,Marcus Allen,906,2009,2010,23,68,906,13.3,4,39.4,WR,New Mexico State
3943,Norris Drinkard,906,2004,2006,34,86,906,10.5,5,26.6,WR,UAB
3944,Vernon Wells,906,1975,1976,22,50,906,18.1,5,41.2,WR,Texas Christian
3945,Vince Petno,906,1961,1963,30,67,906,13.5,6,30.2,WR,The Citadel
3946,Zach Rogers,906,2009,2012,48,63,906,14.4,9,18.9,WR,Tennessee
3947,Calvin Young,905,1974,1975,23,59,905,15.3,4,39.3,TE,Fresno State
3948,Marquise Ricard,905,2013,2016,30,66,905,13.7,7,30.2,WR,Southern Mississippi
3949,Samuel Emilus,905,2018,2021,30,76,905,11.9,10,30.2,WR,"Louisiana Tech,Massachusetts"
3950,Tori Gurley,905,2009,2010,27,75,905,12.1,6,33.5,WR,South Carolina
3951,Adrian Boyd,904,2000,2003,27,68,904,13.3,3,33.5,WR,New Mexico
3952,Charles Ross,904,2020,2024,36,70,904,12.9,4,25.1,WR,"Nevada,San Jose State,USC"
3953,Clarence Verdin,904,1980,1983,32,54,904,16.7,7,28.3,WR,Louisiana
3954,Damion Fletcher,904,2006,2009,50,109,904,8.3,2,18.1,RB,Southern Mississippi
3955,Mike Shaw,904,1980,1983,44,60,904,15.1,7,20.5,TE,Virginia Tech
3956,Robert Farrell,904,1976,1979,44,48,904,18.8,6,20.5,WR,Arkansas
3957,Rossi Martin,904,1999,2001,22,65,904,13.9,12,41.1,WR,Idaho
3958,Toris Rutledge,904,2002,2006,47,66,904,13.7,7,19.2,WR,Troy
3959,Darrell Harding Jr.,903,2019,2023,54,58,903,15.6,3,16.7,WR,"Buffalo,Duke"
3960,Derel Walker,903,2012,2013,24,59,903,15.3,5,37.6,WR,Texas A&M
3961,Mike Quintela,903,1975,1978,44,66,903,13.7,2,20.5,WR,LSU
3962,Patrick Randolph,903,2007,2010,42,80,903,11.3,8,21.5,DB,Rice
3963,C.J. Jones,902,2001,2002,24,72,902,12.5,10,37.6,WR,Iowa
3964,Clifton Smith,902,1987,1990,46,91,902,9.9,7,19.6,RB,Utah
3965,Derek Holloway,902,1979,1982,44,45,902,20,3,20.5,WR,Arkansas
3966,Dillan Micus,902,1995,1996,23,58,902,15.6,4,39.2,WR,Hawaii
3967,Isaiah Williams,902,2005,2008,43,64,902,14.1,5,21,WR,Maryland
3968,Ken Williams,902,1974,1976,31,59,902,15.3,7,29.1,WR,Temple
3969,Kenny Young,902,2014,2018,47,99,902,9.1,8,19.2,RB,Miami (OH)
3970,Melvin Vaughn,902,2014,2017,31,85,902,10.6,8,29.1,TE,Old Dominion
3971,Mike Flagg,902,1984,1987,46,68,902,13.3,11,19.6,TE,Iowa
3972,Richard Appleby,902,1973,1975,33,48,902,18.8,6,27.3,WR,Georgia
3973,Austin Jones,901,2019,2023,56,105,901,8.6,3,16.1,RB,"Stanford,USC"
3974,Darryl Spencer,901,1988,1992,44,63,901,14.3,4,20.5,KR,Miami (FL)
3975,Jerry List,901,1970,1972,34,62,901,14.5,5,26.5,TE,Nebraska
3976,Justin Veltung,901,2009,2012,44,62,901,14.5,8,20.5,WR,Idaho
3977,Keith Gavin,901,2015,2019,44,71,901,12.7,1,20.5,WR,Florida State
3978,Mario Hull,901,2011,2014,34,61,901,14.8,8,26.5,WR,Rice
3979,Rob Chudzinski,901,1988,1990,33,71,901,12.7,7,27.3,TE,Miami (FL)
3980,Taron Henry,901,2004,2007,43,69,901,13.1,6,21,WR,Middle Tennessee State
3981,David Grimes,900,2005,2008,44,90,900,10,7,20.5,WR,Notre Dame
3982,Dick Schmalz,900,1969,1971,30,61,900,14.8,8,30,WR,Auburn
3983,Donte Moore,900,2010,2013,45,76,900,11.8,6,20,WR,Rice
3984,Kam Jones,900,2012,2014,35,91,900,9.9,2,25.7,WR,UTSA
3985,Pete Blumenthal,900,1967,1969,27,73,900,12.3,5,33.3,WR,Pennsylvania
3986,Ray Manning,900,1968,1970,30,72,900,12.5,7,30,WR,Iowa
3987,Darrick Wells,899,1984,1985,22,54,899,16.6,6,40.9,WR,Rice
3988,Donald Massey,899,2005,2007,37,76,899,11.8,3,24.3,WR,Texas Christian
3989,Jed Collins,899,2004,2007,43,80,899,11.2,6,20.9,TE,Washington State
3990,Joshua Bowen,899,2013,2015,32,109,899,8.2,5,28.1,WR,New Mexico State
3991,Kendrick Starling,899,2002,2003,23,77,899,11.7,5,39.1,WR,San Jose State
3992,Carlos Johnson,898,1998,1999,20,69,898,13,10,44.9,WR,Temple
3993,Charlie Simmons,898,1993,1994,22,57,898,15.8,7,40.8,WR,Georgia Tech
3994,Earvin Taylor,898,2003,2007,53,78,898,11.5,5,16.9,WR,Texas A&M
3995,Frosty Anderson,898,1971,1973,34,44,898,20.4,13,26.4,WR,Nebraska
3996,John Glotfelty,898,1987,1990,34,57,898,15.8,6,26.4,WR,Iowa State
3997,Kam Brown,898,2019,2024,43,62,898,14.5,6,20.9,WR,"Purdue,Texas A&M,UCLA"
3998,Keith McDonald,898,1983,1984,22,80,898,11.2,4,40.8,WR,San Jose State
3999,Phil Braxton,898,2000,2002,32,55,898,16.3,5,28.1,WR,West Virginia
4000,Camron Buckley,897,2017,2021,43,65,897,13.8,4,20.9,WR,"Indiana,Texas A&M"
