,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1955,Spencer Rattler,410,NOR,5,150,2024,South Carolina,2019,2023,48,297,410,1.4,16,8.5,QB,"Oklahoma,South Carolina"
1956,Bob Soltis,408,NYG,16,190,1959,Minnesota,1956,1958,27,88,408,4.6,1,15.1,RB,Minnesota
1957,Bobby Bethune,408,CHI,9,117,1961,Mississippi State,1958,1960,27,89,408,4.6,0,15.1,RB,Mississippi State
1958,Clayton Thorson,408,PHI,5,167,2019,Northwestern,2015,2018,53,362,408,1.1,27,7.7,QB,Northwestern
1959,Shaunard Harts,406,KAN,7,212,2001,Boise State,1997,2000,43,90,406,4.5,3,9.4,WR,Boise State
1960,Ainias Smith,405,PHI,5,152,2024,Texas A&M,2019,2023,50,72,405,5.6,4,8.1,WR,Texas A&M
1961,Marquise Goodwin,405,BUF,3,78,2013,Texas,2009,2012,50,46,405,8.8,3,8.1,WR,Texas
1962,Curtis Keaton,404,CIN,4,97,2000,,1995,1997,18,88,404,4.6,3,22.4,RB,West Virginia
1963,Mike Kozlowski,404,MIA,10,272,1979,Colorado,1977,1978,17,101,404,4,1,23.8,RB,Colorado
1964,Jordan Love,403,GNB,1,26,2020,Utah State,2017,2019,38,170,403,2.4,9,10.6,QB,Utah State
1965,Ira Valentine,402,OTI,12,314,1987,Texas A&M,1982,1986,41,93,402,4.3,5,9.8,RB,Texas A&M
1966,Junior Tautalatasi,402,PHI,10,261,1986,Washington State,1984,1985,22,64,402,6.3,4,18.3,RB,Washington State
1967,Pete Manning,402,NWE,,,1960,Wake Forest,1957,1959,60,128,402,3.1,2,6.7,RB,Wake Forest
1968,Van Williams,401,BUF,4,93,1982,,1979,1979,6,66,401,6.1,1,66.8,RB,East Tennessee State
1969,Walter Stanley,399,GNB,4,98,1985,,1980,1981,22,77,399,5.2,0,18.1,RB,Colorado
1970,Cedric Smith,398,MIN,5,131,1990,Florida,1986,1989,36,102,398,3.9,4,11.1,RB,Florida
1971,Mitchell Brookins,397,BUF,4,95,1984,Illinois,1979,1983,55,108,397,3.7,8,7.2,RB,Illinois
1972,Aaron Murray,396,KAN,5,163,2014,Georgia,2010,2013,52,286,396,1.4,16,7.6,QB,Georgia
1973,Bobby Crespino,396,RAI,6,45,1961,Ole Miss,1958,1960,60,106,396,3.7,2,6.6,RB,Ole Miss
1974,Dean Derby,395,RAM,5,51,1957,Washington,1956,1956,10,88,395,4.5,7,39.5,RB,Washington
1975,Mike Thomas,395,JAX,4,107,2009,Arizona,2005,2008,48,45,395,8.8,3,8.2,WR,Arizona
1976,Jim Browner,394,CIN,12,304,1979,Notre Dame,1975,1978,42,104,394,3.8,2,9.4,RB,Notre Dame
1977,Stan Brown,392,CLE,5,118,1971,Purdue,1968,1970,30,118,392,3.3,19,13.1,RB,Purdue
