,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
767,Tellis Redmon,2235,1999,2001,33,444,2235,5,13,67.7,RB,Minnesota
768,Richard Baes,2234,1973,1976,35,507,2234,4.4,20,63.8,RB,Michigan State
769,Ulysses Bentley IV,2234,2019,2024,48,400,2234,5.6,23,46.5,RB,"Ole Miss,SMU"
770,Pete Pifer,2233,1964,1966,30,474,2233,4.7,18,74.4,RB,Oregon State
771,Dwight Nichols,2232,1957,1959,30,638,2232,3.5,9,74.4,RB,Iowa State
772,Kendial Lawrence,2232,2009,2012,45,444,2232,5,21,49.6,RB,Missouri
773,Don Fitzgerald,2231,1965,1967,30,557,2231,4,14,74.4,RB,Kent State
774,Mike Davis,2231,2005,2008,48,523,2231,4.3,19,46.5,RB,South Carolina
775,Josh Harris,2230,2010,2013,43,489,2230,4.6,19,51.9,RB,Wake Forest
776,John LaLonde,2227,1968,1970,30,509,2227,4.4,14,74.2,RB,Northern Illinois
777,Larry McCammon III,2225,2019,2023,45,482,2225,4.6,20,49.4,RB,Florida Atlantic
778,Tevin Washington,2225,2009,2012,36,542,2225,4.1,38,61.8,QB,Georgia Tech
779,Ken Callicutt,2224,1973,1977,44,485,2224,4.6,11,50.5,RB,Clemson
780,Doug McCutchen,2222,1970,1972,33,496,2222,4.5,11,67.3,RB,Texas Tech
781,Chez Mellusi,2221,2019,2024,46,453,2221,4.9,20,48.3,RB,"Clemson,Wisconsin"
782,Tom Parr,2221,1971,1973,30,435,2221,5.1,31,74,QB,Colgate
783,Ryan Grant,2220,2001,2004,39,560,2220,4,18,56.9,RB,Notre Dame
784,Jerome Smith,2219,2011,2013,38,464,2219,4.8,16,58.4,RB,Syracuse
785,Rahjai Harris,2219,2020,2024,41,552,2219,4,21,54.1,RB,East Carolina
786,Mark Lyles,2218,1976,1979,43,515,2218,4.3,20,51.6,RB,Florida State
787,Robbie Beck,2218,2000,2003,46,443,2218,5,34,48.2,RB,Rice
788,Worley Taylor,2217,1977,1980,44,505,2217,4.4,9,50.4,RB,Oklahoma State
789,Ryan Nall,2216,2015,2017,32,385,2216,5.8,24,69.3,RB,Oregon State
790,Armani Rogers,2215,2017,2021,36,400,2215,5.5,27,61.5,QB,"Nevada-Las Vegas,Ohio"
791,Danyell Ferguson,2214,1992,1996,37,454,2214,4.9,21,59.8,RB,Miami (FL)
792,Stacey Driver,2213,1982,1985,43,461,2213,4.8,15,51.5,RB,Clemson
793,Jordan Johnson,2212,2013,2016,33,446,2212,5,19,67,RB,Buffalo
794,Josh Adams,2212,2007,2010,47,545,2212,4.1,22,47.1,RB,Wake Forest
795,Larry Hopkins,2212,1970,1971,22,452,2212,4.9,10,100.5,RB,Wake Forest
796,Obie Graves,2212,1977,1978,23,357,2212,6.2,15,96.2,RB,Cal State Fullerton
797,Don Reynolds,2210,1972,1974,33,443,2210,5,12,67,RB,Oregon
798,J.J. Smith,2210,1991,1994,36,491,2210,4.5,22,61.4,RB,Kansas State
799,Antwoine Womack,2207,1997,2001,32,429,2207,5.1,13,69,RB,Virginia
800,Matt Grothe,2206,2006,2009,42,545,2206,4,23,52.5,QB,South Florida
