,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
583,Ray Yauger,2439,1968,1970,31,555,2439,4.4,16,78.7,RB,Clemson
584,Kenny Irons,2438,2002,2006,37,520,2438,4.7,18,65.9,RB,"Auburn,South Carolina"
585,Montrell Lowe,2437,1999,2002,39,560,2437,4.4,14,62.5,RB,Purdue
586,Corey Rogers,2436,1991,1995,44,489,2436,5,27,55.4,RB,Purdue
587,Jacki Crooks,2434,1996,1999,42,570,2434,4.3,11,58,RB,Rutgers
588,Kevin Nelson,2433,1980,1983,44,527,2433,4.6,19,55.3,RB,UCLA
589,Darren Brister,2432,1996,2000,43,594,2432,4.1,15,56.6,RB,Louisiana
590,Thomas Hammock,2432,1999,2002,32,544,2432,4.5,25,76,RB,Northern Illinois
591,Jerod Void,2429,2002,2005,47,569,2429,4.3,36,51.7,RB,Purdue
592,Robert Walker,2429,1992,1995,42,500,2429,4.9,15,57.8,RB,West Virginia
593,La Ramsby,2428,2014,2017,48,538,2428,4.5,39,50.6,RB,Georgia Southern
594,Stacy Danley,2427,1987,1990,44,526,2427,4.6,14,55.2,RB,Auburn
595,Terrence Jackson,2424,2000,2003,37,564,2424,4.3,24,65.5,RB,Central Michigan
596,Dwight Dasher,2419,2007,2010,41,536,2419,4.5,24,59,QB,Middle Tennessee State
597,Greg Howell,2419,2014,2017,39,462,2419,5.2,22,62,RB,Florida Atlantic
598,Darius Anderson,2418,2016,2019,45,430,2418,5.6,18,53.7,RB,Texas Christian
599,Ish Witter,2418,2014,2017,49,503,2418,4.8,14,49.3,RB,Missouri
600,Donald Buckram,2417,2006,2010,41,450,2417,5.4,21,59,RB,UTEP
601,Kevin Galbreath,2417,2001,2002,24,536,2417,4.5,13,100.7,RB,North Texas
602,Chad Nelson,2415,1994,1997,44,466,2415,5.2,24,54.9,QB,Rice
603,Darryl Harris,2415,1984,1987,42,535,2415,4.5,22,57.5,RB,Arizona State
