,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
84,A.J. McCarron,77,CIN,5,164,2014,Alabama,2010,2013,53,686,1026,340,66.9,9019,77,15,7.5,1.5,162.5,8.8,9.63,13.1,170.2,QB,Alabama
85,Donovan McNabb,77,PHI,1,2,1999,Syracuse,1995,1998,45,548,938,390,58.4,8389,77,26,8.2,2.8,155.1,8.9,9.34,15.3,186.4,QB,Syracuse
86,John Elway,77,CLT,1,1,1983,Stanford,1979,1982,42,774,1246,472,62.1,9349,77,39,6.2,3.1,139.3,7.5,7.33,12.1,222.6,QB,Stanford
87,Rex Grossman,77,CHI,1,22,2003,Florida,2000,2002,35,677,1110,433,61,9164,77,36,6.9,3.2,146.7,8.3,8.18,13.5,261.8,QB,Florida
88,Spencer Rattler,77,NOR,5,150,2024,South Carolina,2019,2023,48,900,1313,413,68.5,10807,77,32,5.9,2.4,152.2,8.2,8.31,12,225.1,QB,"Oklahoma,South Carolina"
89,Trace McSorley,77,RAV,6,197,2019,Penn State,2015,2018,47,720,1215,495,59.3,9899,77,25,6.3,2.1,144.5,8.1,8.49,13.7,210.6,QB,Penn State
90,Alex Brink,76,HTX,7,223,2008,Washington State,2004,2007,46,848,1451,603,58.4,10913,76,43,5.2,3,133,7.5,7.24,12.9,237.2,QB,Washington State
91,Rusty Smith,76,OTI,6,176,2010,Florida Atlantic,2006,2009,45,768,1361,593,56.4,10112,76,36,5.6,2.6,132,7.4,7.36,13.2,224.7,QB,Florida Atlantic
92,Andre Ware,75,DET,1,7,1990,Houston,1987,1989,27,660,1074,414,61.5,8202,75,28,7,2.6,143.4,7.6,7.86,12.4,303.8,QB,Houston
93,Brandon Weeden,75,CLE,1,22,2012,Oklahoma State,2008,2011,30,767,1103,336,69.5,9260,75,27,6.8,2.4,157.6,8.4,8.65,12.1,308.7,QB,Oklahoma State
94,Brett Hundley,75,GNB,5,147,2015,UCLA,2012,2014,40,837,1241,404,67.4,9966,75,25,6,2,150.8,8,8.33,11.9,249.2,QB,UCLA
95,Kevin Hogan,75,KAN,5,162,2016,Stanford,2012,2015,51,727,1103,376,65.9,9385,75,29,6.8,2.6,154.6,8.5,8.69,12.9,184,QB,Stanford
96,Bob Berry,74,DEN,26,201,1964,Oregon,1962,1964,60,542,988,446,54.9,8296,74,48,7.5,4.9,140.4,8.4,7.71,15.3,138.3,QB,Oregon
97,Dan Marino,74,MIA,1,27,1983,Pitt,1979,1982,44,626,1084,458,57.7,7905,74,64,6.8,5.9,129.7,7.3,6,12.6,179.7,QB,Pitt
98,Dave Ragone,74,HTX,3,88,2003,Louisville,1999,2002,41,685,1180,495,58.1,8564,74,29,6.3,2.5,134.8,7.3,7.41,12.5,208.9,QB,Louisville
99,Mike White,74,DAL,5,171,2018,Western Kentucky,2013,2017,44,863,1393,530,62,11262,74,31,5.3,2.2,142.9,8.1,8.15,13,256,QB,"South Florida,Western Kentucky"
100,Nathan Enderle,74,CHI,5,160,2011,Idaho,2007,2010,46,779,1427,648,54.6,10084,74,60,5.2,4.2,122.7,7.1,6.21,12.9,219.2,QB,Idaho
101,Tim Couch,74,CLE,1,1,1999,Kentucky,1996,1998,29,795,1184,389,67.1,8435,74,35,6.3,3,141.7,7.1,7.04,10.6,290.9,QB,Kentucky
102,Max Duggan,73,SDG,7,239,2023,Texas Christian,2019,2022,47,739,1225,486,60.3,9618,73,28,6,2.3,141.4,7.9,8.01,13,204.6,QB,Texas Christian
103,T.J. Rubley,73,RAM,9,228,1992,Tulsa,1987,1991,47,682,1336,654,51,9324,73,54,5.5,4,119.6,7,6.25,13.7,198.4,QB,Tulsa
104,Zac Dysert,73,DEN,7,234,2013,Miami (OH),2009,2012,46,1066,1672,606,63.8,12013,73,51,4.4,3.1,132.4,7.2,6.69,11.3,261.2,QB,Miami (OH)
105,Craig Morton,72,RAI,10,75,1965,California,1962,1964,60,710,1282,572,55.4,9002,72,62,5.6,4.8,123.2,7,5.97,12.7,150,QB,California
106,Daunte Culpepper,72,MIN,1,11,1999,UCF,1996,1998,33,721,1097,376,65.7,9341,72,32,6.6,2.9,153.1,8.5,8.52,13,283.1,QB,UCF
107,Erik Ainge,72,NYJ,5,162,2008,Tennessee,2004,2007,43,733,1210,477,60.6,8700,72,35,6,2.9,134.8,7.2,7.08,11.9,202.3,QB,Tennessee
108,Glenn Foley,72,NYJ,7,208,1994,Boston College,1990,1993,44,703,1275,572,55.1,10039,72,60,5.6,4.7,130.5,7.9,6.89,14.3,228.2,QB,Boston College
109,Ian Book,72,NOR,4,133,2021,Notre Dame,2016,2020,48,728,1141,413,63.8,8948,72,20,6.3,1.8,147,7.8,8.32,12.3,186.4,,Notre Dame
110,Patrick Ramsey,72,WAS,1,32,2002,Tulane,1998,2001,35,798,1355,557,58.9,9205,72,51,5.3,3.8,126,6.8,6.16,11.5,263,QB,Tulane
111,Steve Stenstrom,72,KAN,4,134,1995,Stanford,1991,1994,43,833,1320,487,63.1,10531,72,36,5.5,2.7,142.7,8,7.84,12.6,244.9,QB,Stanford
112,Teddy Bridgewater,72,MIN,1,32,2014,Louisville,2011,2013,39,781,1142,361,68.4,9817,72,24,6.3,2.1,157.2,8.6,8.91,12.6,251.7,QB,Louisville
113,Andy Dalton,71,CIN,2,35,2011,Texas Christian,2007,2010,50,812,1317,505,61.7,10314,71,30,5.4,2.3,140.7,7.8,7.88,12.7,206.3,QB,Texas Christian
114,Brian Brohm,71,GNB,2,56,2008,Louisville,2004,2007,44,780,1185,405,65.8,10775,71,24,6,2,157.9,9.1,9.38,13.8,244.9,QB,Louisville
115,Carson Palmer,71,CIN,1,1,2003,USC,1998,2002,51,895,1515,620,59.1,11388,71,49,4.7,3.2,131.2,7.5,7,12.7,223.3,QB,USC
116,Connor Cook,71,RAI,4,100,2016,Michigan State,2012,2015,43,673,1170,497,57.5,9194,71,22,6.1,1.9,139.8,7.9,8.23,13.7,213.8,QB,Michigan State
117,Kellen Mond,71,MIN,3,66,2021,Texas A&M,2017,2020,47,801,1358,557,59,9661,71,27,5.2,2,132,7.1,7.27,12.1,205.6,QB,Texas A&M
118,Cole McDonald,70,OTI,7,224,2020,Hawaii,2017,2019,33,616,1004,388,61.4,8032,70,24,7,2.4,146.8,8,8.32,13,243.4,QB,Hawaii
119,Dak Prescott,70,DAL,4,135,2016,Mississippi State,2012,2015,49,734,1169,435,62.8,9376,70,23,6,2,146,8,8.33,12.8,191.3,QB,Mississippi State
120,John Navarre,70,CRD,7,202,2004,Michigan,2000,2003,46,744,1327,583,56.1,9014,70,30,5.3,2.3,126,6.8,6.83,12.1,196,QB,Michigan
121,Ryan Nassib,70,NYG,4,110,2013,Syracuse,2009,2012,47,791,1312,521,60.3,9190,70,28,5.3,2.1,132.5,7,7.11,11.6,195.5,QB,Syracuse
122,Shaun King,70,TAM,2,50,1999,Tulane,1995,1998,41,646,1163,517,55.5,8419,70,34,6,2.9,130.4,7.2,7.13,13,205.3,QB,Tulane
123,Brad Kaaya,69,DET,6,215,2017,Miami (FL),2014,2016,38,721,1189,468,60.6,9972,69,24,5.8,2,146.2,8.4,8.64,13.8,262.4,QB,Miami (FL)
124,Kyle Trask,69,TAM,2,64,2021,Florida,2016,2020,29,552,813,261,67.9,7386,69,15,8.5,1.8,168.5,9.1,9.95,13.4,254.7,,Florida
125,Lamar Jackson,69,RAV,1,32,2018,Louisville,2015,2017,38,619,1086,467,57,9043,69,27,6.4,2.5,142.9,8.3,8.48,14.6,238,QB,Louisville
126,Ryan Mallett,69,NWE,3,74,2011,Arkansas,2007,2010,37,552,955,403,57.8,8385,69,24,7.2,2.5,150.4,8.8,9.09,15.2,226.6,QB,"Arkansas,Michigan"
127,Scott Mitchell,69,MIA,4,93,1990,Utah,1987,1989,35,669,1165,496,57.4,8981,69,38,5.9,3.3,135.2,7.7,7.43,13.4,256.6,QB,Utah
128,Steve Ramsey,69,NOR,5,126,1970,North Texas,1967,1969,29,491,1015,524,48.4,7076,69,67,6.8,6.6,116.2,7,5.36,14.4,244,QB,North Texas
129,Tommy Hodson,69,NWE,3,59,1990,LSU,1986,1989,44,674,1163,489,58,9115,69,41,5.9,3.5,136.3,7.8,7.44,13.5,207.2,QB,LSU
130,Chandler Harnish,68,CLT,7,253,2012,Northern Illinois,2008,2011,47,687,1110,423,61.9,8944,68,26,6.1,2.3,145.1,8.1,8.23,13,190.3,QB,Northern Illinois
131,Jake Haener,68,NOR,4,127,2023,Fresno State,2018,2022,33,740,1085,345,68.2,9120,68,18,6.3,1.7,156.2,8.4,8.91,12.3,276.4,QB,"Fresno State,Washington"
132,Nathan Stanley,68,MIN,7,244,2020,Iowa,2016,2019,45,673,1155,482,58.3,8302,68,23,5.9,2,134.1,7.2,7.47,12.3,184.5,QB,Iowa
133,Curtis Painter,67,CLT,6,201,2009,Purdue,2005,2008,46,987,1648,661,59.9,11163,67,46,4.1,2.8,124.6,6.8,6.33,11.3,242.7,QB,Purdue
134,Doug Flutie,67,RAM,11,285,1985,Boston College,1981,1984,44,677,1271,594,53.3,10579,67,54,5.3,4.2,132.1,8.3,7.47,15.6,240.4,QB,Boston College
135,Eric Zeier,67,CLE,3,84,1995,Georgia,1991,1994,44,838,1402,564,59.8,11153,67,37,4.8,2.6,137.1,8,7.72,13.3,253.5,QB,Georgia
136,Justin Fields,67,CHI,1,11,2021,Ohio State,2018,2020,34,423,618,195,68.4,5701,67,9,10.8,1.5,178.8,9.2,10.74,13.5,167.7,QB,"Georgia,Ohio State"
137,Nick Foles,67,PHI,3,88,2012,Arizona,2007,2011,36,938,1404,466,66.8,10068,67,33,4.8,2.4,138.1,7.2,7.07,10.7,279.7,QB,"Arizona,Michigan State"
