,Round
3299,0
9568,2
9322,2
6411,0
8325,0
11625,0
13952,0
9194,4
1965,0
2922,0
7132,0
2599,0
13498,4
11509,0
12479,0
6619,0
8528,0
14075,0
2250,5
6867,0
3171,0
15101,0
6305,0
2115,0
11366,0
13610,0
14586,0
13163,4
6372,0
11519,4
2336,0
7889,0
13157,0
13629,0
3109,0
6871,0
1734,4
12433,0
14785,0
13031,6
11425,2
8562,4
11737,0
6951,0
1939,0
15021,0
13710,0
12619,0
7407,2
13307,5
7589,4
7111,7
13872,0
11486,1
12096,0
11780,0
7409,0
8001,0
2217,0
14636,1
1954,6
7310,4
15234,5
14229,0
2926,0
9132,0
1872,0
3086,0
2469,0
14963,0
12724,0
140,0
13593,0
7560,0
2536,0
13378,1
15174,0
8205,7
12924,4
13814,0
9517,0
14688,0
7177,7
12092,0
14494,0
3060,0
7312,0
7903,0
13983,0
2003,0
1820,0
8235,0
14201,0
13609,0
1634,0
13556,0
14526,0
3325,0
6980,1
3267,0
8228,0
13153,0
12820,0
6631,0
7375,0
14549,0
2275,0
2813,0
14211,0
12604,0
14523,0
9067,4
14256,0
11547,0
1884,0
2968,0
2521,0
14750,0
13491,7
2172,0
14634,0
11627,0
12537,7
13432,0
9070,0
7149,0
13844,3
8510,0
14908,0
7505,0
14417,2
2508,0
1699,0
12699,6
2473,0
9184,0
7266,2
7022,0
2675,0
14470,0
9483,4
13168,0
11365,0
12909,0
9110,5
9459,0
6990,0
7782,5
1863,7
12581,0
14499,3
6673,0
14533,0
93,0
14650,0
9145,0
7074,0
14747,0
14914,3
6576,4
2034,0
15129,0
7618,0
14448,0
8241,7
14459,0
7309,0
1624,0
13187,0
8236,0
7612,0
14763,0
12859,0
15119,0
14030,0
12533,0
11630,0
12788,0
12133,0
12280,1
8251,0
9368,5
13536,0
14901,0
6623,1
7806,0
13884,0
13410,0
8117,0
11507,0
13427,0
6875,0
12662,3
14909,0
6721,0
2097,0
12912,0
1846,0
6716,0
14151,2
3000,0
12752,0
14762,0
14114,0
7300,0
14844,0
6561,0
8214,2
2958,0
14285,0
7761,0
15238,7
1740,3
37,2
3322,0
15047,0
13134,0
1835,7
7183,0
15029,0
12556,0
13882,0
11820,0
6479,0
14249,3
12003,0
6839,1
12798,0
14598,0
2174,6
11769,0
14957,0
1881,6
13065,0
14880,0
3067,0
14090,0
12735,0
14435,0
9179,0
14631,0
1839,0
3069,0
7794,0
7185,0
3029,0
14617,0
12127,0
7390,0
14541,0
9559,4
9243,0
13682,0
2950,0
12281,0
14100,0
15206,0
7332,0
