,Pass_TD,From,To,G,Cmp,Pass_Att,Inc,Cmp%,Pass_Yds,Int,TD%,Int%,Rate,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pos,Team,Rush_Yds,Rush_Att,Rush_Y/A,Rush_TD,Rush_Y/G,Rec_Yds,Rec,Y/R,Rec_TD,Rec_Y/G
13558,0.0,2011,2015,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Cincinnati'],0.0,0.0,0.0,0.0,0.0,1159.0,88.0,13.2,5.0,22.7
15213,0.0,2018,2023,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Georgia Southern', 'Syracuse']",0.0,0.0,0.0,0.0,0.0,887.0,81.0,11.0,7.0,18.9
8032,0.0,2015,2018,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Buffalo'],1244.0,288.0,4.3,10.0,44.4,0.0,0.0,0.0,0.0,0.0
7051,0.0,2002,2005,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Virginia Tech'],1263.0,296.0,4.3,10.0,35.1,0.0,0.0,0.0,0.0,0.0
12167,0.0,1999,2002,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['North Carolina'],0.0,0.0,0.0,0.0,0.0,1027.0,65.0,15.8,9.0,28.5
6192,0.0,1990,1993,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,['Syracuse'],1523.0,307.0,5.0,7.0,38.1,0.0,0.0,0.0,0.0,0.0
14300,0.0,2016,2020,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Ball State', 'Missouri', 'Virginia Tech']",0.0,0.0,0.0,0.0,0.0,2231.0,163.0,13.7,21.0,51.9
13250,0.0,2008,2011,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Virginia Tech'],0.0,0.0,0.0,0.0,0.0,2884.0,184.0,15.7,18.0,53.4
13873,0.0,2013,2017,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,['Texas Tech'],0.0,0.0,0.0,0.0,0.0,1873.0,158.0,11.9,18.0,45.7
14007,0.0,2014,2018,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,"['Buffalo', 'UAB']",0.0,0.0,0.0,0.0,0.0,1235.0,98.0,12.6,4.0,28.1
